lot_number,VAX_MANU,reports,serious_reports,deaths,total_doses_shipped,reports_per_million,serious_per_million,deaths_per_million,source_rows,source_files,source_sheets
FF2539,PFIZER\BIONTECH,9,3.0,0.0,12271.0,733.44,244.48,0.0,55,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
3203080,PFIZER\BIONTECH,61,5.0,0.0,21238.0,2872.21,235.43,0.0,73,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO198,PFIZER\BIONTECH,50,4.0,0.0,17309.0,2888.67,231.09,0.0,59,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
FF3590,PFIZER\BIONTECH,26,8.0,2.0,35463.0,733.16,225.59,56.4,67,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO186,PFIZER\BIONTECH,43,5.0,0.0,22883.0,1879.12,218.5,0.0,60,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PAA165969,PFIZER\BIONTECH,68,18.0,1.0,92277.0,736.91,195.06,10.84,96,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
3302680,PFIZER\BIONTECH,32,2.0,0.0,10848.0,2949.85,184.37,0.0,66,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
FC3185,PFIZER\BIONTECH,8,2.0,1.0,11196.0,714.54,178.64,89.32,58,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
33038D,PFIZER\BIONTECH,4,2.0,0.0,11611.0,344.5,172.25,0.0,78,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO191,PFIZER\BIONTECH,41,4.0,0.0,24798.0,1653.36,161.3,0.0,60,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PAA173696,PFIZER\BIONTECH,30,5.0,3.0,32068.0,935.51,155.92,93.55,93,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EW0197,PFIZER\BIONTECH,4,2.0,0.0,13056.0,306.37,153.19,0.0,58,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PAA156051,PFIZER\BIONTECH,99,19.0,2.0,125282.0,790.22,151.66,15.96,71,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
FF2258,PFIZER\BIONTECH,5,2.0,0.0,13293.0,376.14,150.46,0.0,42,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
320308,PFIZER\BIONTECH,5,2.0,1.0,13455.0,371.61,148.64,74.32,66,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
GJ3277,PFIZER\BIONTECH,1133,579.0,20.0,3930955.0,288.23,147.29,5.09,7141,2023-00157-A-PHS-New-data-set.xlsx,#3 Data; Part2
FD7220,PFIZER\BIONTECH,18,7.0,1.0,48550.0,370.75,144.18,20.6,57,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EWO171,PFIZER\BIONTECH,58,5.0,0.0,36203.0,1602.08,138.11,0.0,50,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EK4176,PFIZER\BIONTECH,1934,275.0,45.0,2073289.0,932.82,132.64,21.7,626,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EN7534,PFIZER\BIONTECH,22,3.0,1.0,23073.0,953.5,130.02,43.34,47,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO175,PFIZER\BIONTECH,51,2.0,0.0,15687.0,3251.1,127.49,0.0,50,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EL9261,PFIZER\BIONTECH,2636,832.0,232.0,7037705.0,374.55,118.22,32.97,2529,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EL9265,PFIZER\BIONTECH,1750,638.0,119.0,5518912.0,317.09,115.6,21.56,1613,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EM9810,PFIZER\BIONTECH,1736,652.0,161.0,5650006.0,307.26,115.4,28.5,2210,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
301558A,PFIZER\BIONTECH,388,94.0,12.0,857061.0,452.71,109.68,14.0,166,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
301358A,PFIZER\BIONTECH,462,101.0,12.0,976496.0,473.12,103.43,12.29,198,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EL3249,PFIZER\BIONTECH,2740,638.0,156.0,6173736.0,443.82,103.34,25.27,2700,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EN9581,PFIZER\BIONTECH,957,289.0,101.0,2970255.0,322.19,97.3,34.0,1598,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EW1053,PFIZER\BIONTECH,20,2.0,0.0,20571.0,972.24,97.22,0.0,47,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EW1072,PFIZER\BIONTECH,14,1.0,0.0,10330.0,1355.28,96.81,0.0,51,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
FE2589,PFIZER\BIONTECH,6,1.0,0.0,10384.0,577.81,96.3,0.0,50,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
301308A,PFIZER\BIONTECH,982,177.0,20.0,1861269.0,527.6,95.1,10.75,230,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
