SOURCE_SCOPE,VAX_MANU,lot,vax_rows,reports,death_reports,hospital_reports,life_threat_reports,disability_reports,serious_reports,death_pct,hospital_pct,serious_pct,mean_age,median_age,states_reported,first_received,last_received
DOMESTIC,MODERNA,031B21A,1664,1616,25,157,16,32,200,1.547,9.715,12.376,51.26,53.0,46,01/01/2022,12/31/2022
DOMESTIC,PFIZER\BIONTECH,FC3180,1808,1614,26,237,56,73,301,1.611,14.684,18.649,42.54,42.0,50,01/02/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EW3143,1614,1611,5,102,42,137,233,0.31,6.331,14.463,32.19,32.0,1,01/03/2022,12/31/2021
DOMESTIC,MODERNA,076C21A,1636,1607,34,159,16,26,200,2.116,9.894,12.446,56.93,60.0,50,01/03/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EW6126,1612,1602,40,585,98,419,1002,2.497,36.517,62.547,53.28,55.0,1,01/03/2025,12/30/2022
DOMESTIC,PFIZER\BIONTECH,FF2589,1710,1602,34,170,28,51,236,2.122,10.612,14.732,49.11,48.0,51,01/02/2022,12/31/2021
DOMESTIC,MODERNA,001A21A,1681,1596,37,184,30,36,226,2.318,11.529,14.16,61.22,65.0,40,01/02/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FC3181,1791,1595,23,267,48,69,336,1.442,16.74,21.066,42.68,42.0,50,01/02/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,EW0168,1741,1580,32,264,47,87,337,2.025,16.709,21.329,38.8,38.0,52,01/01/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,EL9266,1775,1578,117,360,41,49,443,7.414,22.814,28.074,62.13,66.0,45,01/01/2022,12/30/2021
DOMESTIC,PFIZER\BIONTECH,EW0178,1731,1565,12,219,36,57,275,0.767,13.994,17.572,35.67,33.0,50,01/02/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FK9894,1616,1549,29,204,14,23,238,1.872,13.17,15.365,55.9,62.0,54,01/03/2023,12/31/2022
DOMESTIC,PFIZER\BIONTECH,FE3592,1696,1537,35,275,31,67,343,2.277,17.892,22.316,48.47,48.0,49,01/02/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FF2593,1638,1532,48,360,22,47,414,3.133,23.499,27.023,51.85,53.0,52,01/01/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,GJ6665,1632,1532,17,128,18,18,146,1.11,8.355,9.53,53.09,58.0,48,01/02/2023,12/30/2022
DOMESTIC,PFIZER\BIONTECH,FA7485,1699,1529,31,173,39,67,242,2.027,11.315,15.827,39.98,39.0,52,01/02/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,EM9809,1706,1528,55,279,56,51,349,3.599,18.259,22.84,61.45,66.0,46,01/01/2023,12/31/2021
DOMESTIC,MODERNA,047A21A,1573,1527,54,244,27,36,304,3.536,15.979,19.908,57.27,59.0,34,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EP2163,1529,1527,73,525,73,97,668,4.781,34.381,43.746,49.7,46.0,1,01/03/2023,12/31/2021
DOMESTIC,MODERNA,040B21A,1592,1514,32,261,25,27,308,2.114,17.239,20.343,48.81,50.0,38,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EJ6136,1517,1509,47,156,19,63,261,3.115,10.338,17.296,49.85,49.0,1,01/04/2022,12/30/2021
DOMESTIC,PFIZER\BIONTECH,FM0698,1545,1505,7,99,6,10,109,0.465,6.578,7.243,52.92,59.0,46,01/06/2023,12/28/2022
DOMESTIC,MODERNA,003A21A,1546,1490,36,154,38,33,199,2.416,10.336,13.356,58.01,63.0,44,01/02/2023,12/31/2021
DOMESTIC,JANSSEN,207A21A,1679,1478,38,209,22,36,252,2.571,14.141,17.05,43.25,43.0,49,01/01/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FF8839,1592,1474,39,187,26,59,250,2.646,12.687,16.961,48.89,49.0,53,01/01/2022,12/31/2021
DOMESTIC,MODERNA,025B21A,1512,1471,72,295,33,23,358,4.895,20.054,24.337,53.23,55.0,43,01/01/2022,12/31/2021
DOMESTIC,MODERNA,045A21A,1521,1461,53,225,40,40,286,3.628,15.4,19.576,52.85,55.0,44,01/03/2023,12/31/2021
DOMESTIC,MODERNA,019B21A,1511,1459,46,135,33,61,218,3.153,9.253,14.942,51.98,55.0,43,01/01/2022,12/31/2024
DOMESTIC,JANSSEN,041A21A,1608,1454,68,194,39,42,244,4.677,13.343,16.781,45.79,46.0,44,01/01/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FC3182,1658,1452,46,203,58,86,304,3.168,13.981,20.937,42.97,42.0,51,01/03/2022,12/31/2024
DOMESTIC,MODERNA,029A21A,1518,1452,79,157,27,36,224,5.441,10.813,15.427,58.3,62.0,45,01/01/2022,12/31/2021
DOMESTIC,MODERNA,028A21A,1491,1452,34,186,24,22,218,2.342,12.81,15.014,53.19,55.0,51,01/03/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FF2834,1447,1444,28,167,42,38,249,1.939,11.565,17.244,43.41,43.0,1,01/03/2023,12/31/2021
DOMESTIC,MODERNA,006M20A,1499,1440,76,168,23,27,250,5.278,11.667,17.361,64.28,68.0,51,01/01/2022,12/31/2021
DOMESTIC,JANSSEN,1805031,1663,1437,105,314,67,41,379,7.307,21.851,26.374,50.93,53.0,38,01/02/2023,12/31/2022
DOMESTIC,PFIZER\BIONTECH,FJ6369,1542,1436,20,188,18,32,214,1.393,13.092,14.903,41.66,42.0,47,01/04/2024,12/30/2022
DOMESTIC,PFIZER\BIONTECH,FL8095,1505,1435,4,22,8,10,32,0.279,1.533,2.23,10.32,8.0,48,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EJ6134,1440,1433,101,227,60,191,514,7.048,15.841,35.869,50.04,48.0,1,01/04/2022,12/29/2021
DOMESTIC,MODERNA,007C21A,1485,1432,13,127,12,29,156,0.908,8.869,10.894,43.96,43.0,47,01/01/2025,12/31/2021
DOMESTIC,JANSSEN,1808609,1571,1431,34,204,57,45,263,2.376,14.256,18.379,48.07,49.0,54,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FF3319,1432,1431,2,101,31,139,217,0.14,7.058,15.164,30.85,30.0,1,01/05/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FG3527,1568,1425,38,274,30,50,326,2.667,19.228,22.877,49.88,51.0,48,01/01/2022,12/31/2024
NONDOMESTIC,PFIZER\BIONTECH,EM4965,1428,1415,5,114,42,185,291,0.353,8.057,20.565,47.84,48.0,1,01/03/2023,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EX8680,1414,1414,20,439,96,164,617,1.414,31.047,43.635,49.5,50.0,1,01/04/2023,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EP9598,1419,1413,108,420,69,112,620,7.643,29.724,43.878,59.83,57.0,1,01/04/2022,12/30/2021
DOMESTIC,JANSSEN,1808978,1547,1412,27,187,52,50,244,1.912,13.244,17.28,47.68,50.0,51,01/01/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FK9729,1478,1401,19,174,19,28,204,1.356,12.42,14.561,46.83,51.0,54,01/04/2023,12/28/2022
DOMESTIC,PFIZER\BIONTECH,FL8094,1508,1400,0,17,3,4,19,0.0,1.214,1.357,11.46,9.0,52,01/02/2023,12/30/2021
DOMESTIC,MODERNA,043B21A,1459,1395,30,262,22,25,296,2.151,18.781,21.219,48.15,49.0,43,01/01/2022,12/30/2021
DOMESTIC,PFIZER\BIONTECH,GK1657,1444,1391,0,27,1,3,28,0.0,1.941,2.013,11.97,8.0,52,01/01/2023,12/30/2022
DOMESTIC,MODERNA,032M20A,1467,1389,61,219,25,28,265,4.392,15.767,19.078,59.35,63.0,46,01/03/2022,12/30/2021
DOMESTIC,MODERNA,002B21A,1417,1381,26,257,24,31,296,1.883,18.61,21.434,55.72,58.0,48,01/03/2022,12/30/2021
NONDOMESTIC,PFIZER\BIONTECH,ER2659,1388,1379,45,453,58,190,673,3.263,32.85,48.803,49.27,45.0,1,01/05/2022,12/31/2021
DOMESTIC,MODERNA,037B21A,1443,1377,29,149,17,32,197,2.106,10.821,14.306,48.63,50.0,34,01/01/2022,12/30/2023
DOMESTIC,PFIZER\BIONTECH,EW0198,1454,1376,9,107,21,38,146,0.654,7.776,10.61,36.12,35.0,51,01/03/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FA1027,1375,1372,2,99,46,109,202,0.146,7.216,14.723,29.8,28.0,1,01/04/2023,12/31/2021
DOMESTIC,MODERNA,046C21A,1484,1369,11,43,0,9,58,0.804,3.141,4.237,48.49,48.0,40,01/04/2022,12/31/2021
DOMESTIC,MODERNA,021B21A,1385,1355,45,149,31,38,198,3.321,10.996,14.613,54.69,57.0,42,01/01/2022,12/31/2021
DOMESTIC,MODERNA,030B21A,1396,1355,53,152,29,29,198,3.911,11.218,14.613,48.62,50.0,46,01/03/2023,12/31/2021
DOMESTIC,MODERNA,027B21A,1404,1353,45,167,30,35,213,3.326,12.343,15.743,48.83,50.0,46,01/02/2025,12/30/2021
NONDOMESTIC,PFIZER\BIONTECH,EX8679,1353,1344,38,669,81,41,726,2.827,49.777,54.018,51.88,53.0,2,01/02/2024,12/31/2021
DOMESTIC,JANSSEN,204A21A,1486,1343,20,189,43,43,237,1.489,14.073,17.647,43.0,42.0,49,01/01/2022,12/31/2021
DOMESTIC,MODERNA,008C21A,1372,1341,24,72,18,30,106,1.79,5.369,7.905,47.71,49.0,38,01/02/2023,12/29/2021
NONDOMESTIC,PFIZER\BIONTECH,EW4815,1342,1338,61,324,75,138,503,4.559,24.215,37.593,57.0,59.5,1,01/04/2022,12/30/2022
DOMESTIC,MODERNA,038B21A,1458,1334,28,146,24,33,187,2.099,10.945,14.018,47.53,50.0,43,01/02/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FD8448,1469,1333,25,197,40,47,246,1.875,14.779,18.455,42.68,42.0,49,01/01/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FF2588,1420,1329,30,203,41,61,263,2.257,15.275,19.789,46.33,45.0,47,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EP2166,1330,1327,111,321,98,138,561,8.365,24.19,42.276,62.82,68.0,1,01/04/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EJ6790,1327,1322,55,188,48,122,354,4.16,14.221,26.778,52.59,52.0,1,01/04/2022,12/31/2021
DOMESTIC,MODERNA,048A21A,1337,1314,40,139,17,24,182,3.044,10.578,13.851,58.86,62.0,36,01/01/2022,12/30/2021
NONDOMESTIC,PFIZER\BIONTECH,FC3095,1317,1307,28,653,92,42,702,2.142,49.962,53.711,46.92,47.0,2,01/04/2023,12/31/2021
DOMESTIC,MODERNA,037A21B,1348,1305,20,166,20,24,197,1.533,12.72,15.096,51.15,53.0,45,01/01/2022,12/30/2021
DOMESTIC,JANSSEN,1805020,1488,1305,41,211,58,57,264,3.142,16.169,20.23,52.27,53.0,35,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FD7958,1314,1303,21,623,81,45,668,1.612,47.813,51.266,45.16,46.0,1,01/02/2024,12/31/2024
NONDOMESTIC,PFIZER\BIONTECH,ET1831,1301,1301,90,312,81,78,447,6.918,23.982,34.358,60.1,58.5,1,01/04/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,ER9480,1306,1299,48,448,58,93,573,3.695,34.488,44.111,48.97,46.0,1,01/03/2025,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EW2246,1293,1293,69,354,77,68,492,5.336,27.378,38.051,59.77,62.0,1,01/04/2022,12/31/2021
DOMESTIC,JANSSEN,1808980,1435,1285,28,183,38,60,232,2.179,14.241,18.054,46.27,47.0,44,01/02/2022,12/30/2021
NONDOMESTIC,PFIZER\BIONTECH,ET3620,1282,1282,100,360,78,79,504,7.8,28.081,39.314,66.16,72.0,1,01/03/2023,12/30/2021
DOMESTIC,PFIZER\BIONTECH,FH8028,1411,1282,29,217,27,37,260,2.262,16.927,20.281,44.64,45.0,50,01/01/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FA7484,1412,1281,25,135,26,44,186,1.952,10.539,14.52,38.08,37.0,49,01/01/2022,12/30/2021
DOMESTIC,MODERNA,020B21A,1326,1275,61,152,16,23,204,4.784,11.922,16.0,48.56,49.0,43,01/02/2022,12/30/2021
DOMESTIC,PFIZER\BIONTECH,FT9142,1367,1275,1,30,8,4,37,0.078,2.353,2.902,3.04,3.0,51,01/03/2023,12/29/2022
NONDOMESTIC,PFIZER\BIONTECH,EJ6789,1279,1274,102,395,50,126,590,8.006,31.005,46.311,55.25,53.0,1,01/03/2023,12/30/2022
NONDOMESTIC,PFIZER\BIONTECH,EJ6788,1285,1274,153,361,62,38,522,12.009,28.336,40.973,61.94,59.0,1,01/03/2023,12/29/2022
DOMESTIC,PFIZER\BIONTECH,FK9895,1320,1262,15,91,13,27,124,1.189,7.211,9.826,50.8,57.0,52,01/03/2022,12/28/2022
NONDOMESTIC,PFIZER\BIONTECH,EX0893,1259,1258,48,281,58,89,424,3.816,22.337,33.704,60.71,63.5,1,01/04/2022,12/30/2021
NONDOMESTIC,PFIZER\BIONTECH,EY7015,1252,1252,22,105,21,35,154,1.757,8.387,12.3,49.72,50.0,1,01/04/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,ET3674,1262,1252,61,501,58,84,625,4.872,40.016,49.92,53.13,50.0,2,01/02/2026,12/30/2021
NONDOMESTIC,JANSSEN,XD974,1257,1250,5,63,13,15,86,0.4,5.04,6.88,37.93,35.5,1,01/03/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FD9234,1245,1241,15,540,68,139,663,1.209,43.513,53.425,47.09,47.0,1,01/03/2024,12/31/2024
DOMESTIC,MODERNA,047B21A,1279,1240,30,98,20,31,143,2.419,7.903,11.532,45.62,45.0,36,01/01/2022,12/29/2021
DOMESTIC,MODERNA,002C21A,1298,1240,47,159,15,27,212,3.79,12.823,17.097,46.52,46.0,49,01/03/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EX6537,1234,1234,36,269,58,128,426,2.917,21.799,34.522,54.57,56.0,1,01/05/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,30155BA,1321,1233,19,186,20,27,210,1.541,15.085,17.032,48.48,49.0,50,01/03/2022,12/31/2021
NONDOMESTIC,JANSSEN,XD985,1238,1223,3,80,10,14,98,0.245,6.541,8.013,35.18,33.0,1,01/03/2022,12/31/2021
DOMESTIC,MODERNA,039B21A,1275,1219,55,141,20,26,194,4.512,11.567,15.915,47.64,48.0,33,01/01/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FK9893,1273,1212,18,131,11,13,148,1.485,10.809,12.211,61.77,66.0,49,01/04/2023,12/29/2023
DOMESTIC,MODERNA,032B21A,1245,1211,43,121,24,47,177,3.551,9.992,14.616,50.14,51.0,48,01/01/2022,12/31/2021
DOMESTIC,JANSSEN,1805025,1320,1207,75,267,48,40,326,6.214,22.121,27.009,52.44,55.0,38,01/01/2022,12/30/2021
NONDOMESTIC,PFIZER\BIONTECH,EW4811,1206,1206,41,337,40,59,417,3.4,27.944,34.577,48.67,45.0,1,01/04/2022,12/30/2021
NONDOMESTIC,PFIZER\BIONTECH,FK0596,1223,1204,7,86,49,146,238,0.581,7.143,19.767,53.87,57.0,1,01/04/2023,12/31/2021
DOMESTIC,PFIZER\BIONTECH,GJ5342,1231,1202,20,232,16,17,259,1.664,19.301,21.547,58.69,65.0,45,01/01/2023,12/31/2022
NONDOMESTIC,PFIZER\BIONTECH,FA5833,1195,1193,14,402,74,246,641,1.174,33.697,53.73,47.84,47.0,1,01/02/2025,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EJ6795,1187,1180,156,236,80,55,449,13.22,20.0,38.051,53.68,51.0,1,01/05/2022,12/30/2021
NONDOMESTIC,PFIZER\BIONTECH,FE3380,1181,1178,3,80,22,102,175,0.255,6.791,14.856,29.61,29.0,1,01/02/2024,12/31/2021
DOMESTIC,PFIZER\BIONTECH,30145BA,1268,1177,18,120,22,28,149,1.529,10.195,12.659,53.41,55.0,53,01/04/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EX7823,1187,1172,20,428,58,62,488,1.706,36.519,41.638,49.09,49.0,1,01/03/2023,12/31/2024
NONDOMESTIC,PFIZER\BIONTECH,EJ6796,1169,1165,122,291,71,46,458,10.472,24.979,39.313,53.58,51.0,1,01/04/2021,12/30/2021
DOMESTIC,MODERNA,043L20A,1256,1163,99,203,18,18,274,8.512,17.455,23.56,58.31,60.0,34,01/03/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EY3014,1160,1160,15,168,51,42,222,1.293,14.483,19.138,53.22,53.5,1,01/04/2022,12/31/2021
DOMESTIC,MODERNA,009C21A,1199,1156,39,101,24,33,155,3.374,8.737,13.408,48.41,48.0,38,01/01/2022,12/31/2021
DOMESTIC,MODERNA,037C21A,1178,1155,6,58,14,21,83,0.519,5.022,7.186,46.27,45.0,42,01/02/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FK9712,1156,1154,6,84,31,145,219,0.52,7.279,18.977,40.84,42.0,1,01/05/2022,12/31/2022
NONDOMESTIC,MODERNA,3002332,1157,1148,1,38,10,74,109,0.087,3.31,9.495,34.24,34.0,1,01/03/2022,12/30/2024
DOMESTIC,PFIZER\BIONTECH,FE3594,1224,1148,7,166,15,35,192,0.61,14.46,16.725,39.1,39.0,51,01/01/2022,12/31/2021
DOMESTIC,MODERNA,044B21A,1187,1142,33,158,17,30,195,2.89,13.835,17.075,45.87,46.0,36,01/03/2022,12/30/2022
DOMESTIC,MODERNA,046B21A,1170,1139,30,139,25,34,175,2.634,12.204,15.364,48.66,50.0,43,01/03/2022,12/31/2024
DOMESTIC,MODERNA,012H21B,1162,1137,14,214,12,14,232,1.231,18.821,20.405,53.15,54.0,45,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,ET6956,1139,1136,47,272,74,79,396,4.137,23.944,34.859,57.61,60.0,1,01/02/2024,12/31/2021
DOMESTIC,PFIZER\BIONTECH,GJ3277,1153,1132,20,558,14,19,579,1.767,49.293,51.148,61.3,65.0,48,01/02/2023,12/31/2022
DOMESTIC,MODERNA,066H21A,1246,1132,6,54,7,11,65,0.53,4.77,5.742,48.69,48.0,44,01/01/2022,12/31/2021
DOMESTIC,MODERNA,036B21A,1162,1127,22,129,33,37,174,1.952,11.446,15.439,49.71,52.0,42,01/04/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FH8027,1214,1120,25,149,20,25,200,2.232,13.304,17.857,45.69,47.0,51,01/01/2022,12/31/2021
DOMESTIC,MODERNA,030H21B,1160,1118,27,138,22,28,183,2.415,12.343,16.369,50.48,51.0,47,01/01/2022,12/31/2021
DOMESTIC,MODERNA,048B21A,1149,1117,44,152,13,30,214,3.939,13.608,19.158,48.67,49.0,41,01/01/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FL2757,1129,1113,0,9,1,3,10,0.0,0.809,0.898,7.9,7.0,51,01/04/2023,12/27/2022
DOMESTIC,MODERNA,026C21A,1128,1111,6,47,9,24,75,0.54,4.23,6.751,48.56,48.0,36,01/02/2023,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FH0161,1114,1108,12,172,42,117,306,1.083,15.523,27.617,43.42,41.0,1,01/05/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EL0739,1114,1107,21,97,35,159,266,1.897,8.762,24.029,51.81,51.0,1,01/06/2022,12/31/2021
DOMESTIC,MODERNA,048C21A,1120,1104,26,46,16,9,66,2.355,4.167,5.978,52.79,54.0,41,01/03/2022,12/30/2022
DOMESTIC,MODERNA,017C21A,1148,1099,26,115,23,18,147,2.366,10.464,13.376,45.64,46.0,48,01/03/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FC2336,1111,1099,12,348,66,308,679,1.092,31.665,61.783,46.22,46.0,1,01/02/2024,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FG4509,1096,1095,20,103,27,25,152,1.826,9.406,13.881,38.88,36.0,1,01/04/2022,12/30/2022
DOMESTIC,PFIZER\BIONTECH,33130BA,1142,1095,11,105,7,17,127,1.005,9.589,11.598,40.75,39.0,49,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FA8016,1096,1092,37,283,63,119,448,3.388,25.916,41.026,50.49,50.5,1,01/03/2023,12/30/2021
DOMESTIC,PFIZER\BIONTECH,GH9703,1125,1081,20,162,22,23,186,1.85,14.986,17.206,61.41,66.0,47,01/02/2023,12/31/2022
DOMESTIC,PFIZER\BIONTECH,FJ1620,1156,1080,14,174,16,40,216,1.296,16.111,20.0,45.89,46.0,46,01/01/2022,12/31/2021
NONDOMESTIC,JANSSEN,XD975,1073,1069,5,50,11,27,83,0.468,4.677,7.764,44.42,48.0,1,01/03/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FM9992,1129,1067,23,162,14,19,194,2.156,15.183,18.182,59.18,64.0,47,01/02/2023,12/29/2022
DOMESTIC,MODERNA,003C21A,1130,1065,10,114,14,27,140,0.939,10.704,13.146,46.87,48.0,41,01/03/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FH8030,1137,1065,25,168,20,38,224,2.347,15.775,21.033,49.36,50.0,50,01/01/2022,12/31/2021
DOMESTIC,MODERNA,041B21A,1125,1064,9,87,26,34,131,0.846,8.177,12.312,45.35,45.0,44,01/04/2022,12/31/2021
DOMESTIC,MODERNA,038K20A,1093,1062,30,167,16,20,201,2.825,15.725,18.927,62.52,67.0,30,01/02/2021,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FJ8757,1102,1058,15,170,16,31,208,1.418,16.068,19.66,45.59,45.0,46,01/01/2022,12/31/2024
NONDOMESTIC,PFIZER\BIONTECH,ET7205,1058,1057,75,246,68,89,416,7.096,23.273,39.357,59.6,61.0,1,01/04/2022,12/31/2021
DOMESTIC,MODERNA,005C21A,1127,1055,29,230,19,10,248,2.749,21.801,23.507,48.25,48.0,40,01/01/2022,12/29/2021
NONDOMESTIC,PFIZER\BIONTECH,ER9470,1054,1052,51,347,61,47,432,4.848,32.985,41.065,64.6,70.0,1,01/02/2024,12/30/2021
DOMESTIC,PFIZER\BIONTECH,GJ6739,1065,1048,6,75,8,8,87,0.573,7.156,8.302,54.62,59.0,49,01/01/2023,12/31/2022
NONDOMESTIC,PFIZER\BIONTECH,EL0725,1049,1047,53,141,27,88,265,5.062,13.467,25.31,50.89,49.0,1,01/02/2026,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FH3220,1060,1046,9,121,42,115,236,0.86,11.568,22.562,55.66,60.0,1,01/05/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FE1573,1047,1044,8,170,36,50,232,0.766,16.284,22.222,38.46,35.0,1,01/05/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EW8904,1048,1043,50,473,53,58,555,4.794,45.35,53.212,57.29,57.0,1,01/05/2022,12/30/2021
NONDOMESTIC,PFIZER\BIONTECH,FF2832,1043,1042,16,107,53,110,233,1.536,10.269,22.361,37.11,35.0,1,01/04/2022,12/30/2022
NONDOMESTIC,PFIZER\BIONTECH,FE6975,1046,1033,24,489,60,43,533,2.323,47.338,51.597,44.68,45.0,1,01/04/2023,12/31/2021
DOMESTIC,MODERNA,047C21A,1042,1028,25,85,11,16,106,2.432,8.268,10.311,52.55,53.0,46,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,EX3599,1027,1023,38,436,71,44,514,3.715,42.62,50.244,54.24,55.0,1,01/05/2022,12/30/2022
DOMESTIC,MODERNA,001C21A,1066,1018,24,91,20,26,133,2.358,8.939,13.065,46.85,48.0,48,01/01/2022,12/31/2024
NONDOMESTIC,PFIZER\BIONTECH,ER7812,1008,1005,85,369,55,76,505,8.458,36.716,50.249,60.35,58.0,1,01/05/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FF8288,1024,1004,18,160,48,102,287,1.793,15.936,28.586,51.26,54.0,1,01/03/2023,12/31/2022
NONDOMESTIC,PFIZER\BIONTECH,EL1491,1018,1002,56,149,34,45,254,5.589,14.87,25.349,46.33,44.0,1,01/04/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FM7553,1036,1000,15,151,20,20,179,1.5,15.1,17.9,52.38,58.0,52,01/03/2023,12/31/2022
DOMESTIC,PFIZER\BIONTECH,FJ8762,1051,996,9,132,8,22,151,0.904,13.253,15.161,44.24,45.0,47,01/01/2022,12/31/2021
DOMESTIC,MODERNA,039A21A,1025,996,10,72,19,31,101,1.004,7.229,10.141,47.7,49.0,36,01/03/2022,12/30/2021
DOMESTIC,MODERNA,031H21A,1045,994,16,142,14,10,163,1.61,14.286,16.398,52.23,52.0,43,01/01/2022,12/31/2024
NONDOMESTIC,PFIZER\BIONTECH,EX3510,994,991,18,418,33,39,459,1.816,42.18,46.317,51.82,51.0,1,01/02/2024,12/31/2021
DOMESTIC,MODERNA,016C21A,1020,988,29,97,17,19,132,2.935,9.818,13.36,47.21,47.5,52,01/03/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FD8813,983,982,3,82,24,117,181,0.305,8.35,18.432,32.92,32.0,1,01/06/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,301308A,1058,982,20,132,25,35,177,2.037,13.442,18.024,51.31,52.0,47,01/03/2022,12/30/2021
NONDOMESTIC,PFIZER\BIONTECH,FC3143,977,977,8,203,52,41,265,0.819,20.778,27.124,45.93,46.0,1,01/02/2024,12/31/2021
DOMESTIC,PFIZER\BIONTECH,FK9896,1018,974,8,81,6,20,108,0.821,8.316,11.088,46.57,49.0,46,01/03/2023,12/30/2022
DOMESTIC,MODERNA,004C21A,998,970,20,89,18,16,115,2.062,9.175,11.856,46.89,48.0,44,01/03/2022,12/31/2021
DOMESTIC,PFIZER\BIONTECH,EN9581,1077,956,101,207,31,35,289,10.565,21.653,30.23,62.5,67.0,43,01/02/2022,12/28/2021
DOMESTIC,MODERNA,050E21A,947,939,10,21,6,12,42,1.065,2.236,4.473,50.78,51.0,42,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,ER7449,933,928,22,201,17,74,292,2.371,21.659,31.466,45.36,44.0,1,01/04/2022,12/29/2021
NONDOMESTIC,PFIZER\BIONTECH,EW9127,927,925,46,245,60,112,377,4.973,26.486,40.757,60.76,65.0,1,01/05/2022,12/30/2021
DOMESTIC,PFIZER\BIONTECH,FL3197,976,918,7,96,19,26,128,0.763,10.458,13.943,43.67,45.0,45,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FC8889,926,917,12,398,45,145,539,1.309,43.402,58.779,47.48,49.0,1,01/03/2024,12/31/2021
DOMESTIC,JANSSEN,1808982,1011,916,22,131,32,34,175,2.402,14.301,19.105,44.63,44.0,36,01/01/2022,12/31/2021
NONDOMESTIC,PFIZER\BIONTECH,FD5996,929,914,50,196,17,8,248,5.47,21.444,27.133,47.98,49.0,1,01/03/2023,12/31/2021
DOMESTIC,MODERNA,065F21A,931,912,32,87,12,17,119,3.509,9.539,13.048,58.76,63.0,47,01/02/2022,12/31/2021
DOMESTIC,MODERNA,021C21A,947,912,14,70,16,27,100,1.535,7.675,10.965,43.96,42.0,33,01/04/2022,12/28/2021
NONDOMESTIC,MODERNA,3004675,953,911,1,55,29,84,144,0.11,6.037,15.807,57.94,60.0,1,01/03/2022,12/31/2021
