lot_number,VAX_MANU,total_doses_shipped,reports,serious_reports,deaths,reports_per_million,serious_per_million,deaths_per_million,expected_serious,serious_oe_ratio,expected_deaths,death_oe_ratio,serious_oe_ci_low,serious_oe_ci_high
EW0186,PFIZER\BIONTECH,15160993.0,1793,388.0,32.0,118.26,25.59,2.11,442.32,0.877,65.88,0.486,0.79,0.964
FF2590,PFIZER\BIONTECH,14127928.0,1726,359.0,26.0,122.17,25.41,1.84,412.18,0.871,61.39,0.424,0.781,0.961
FC3181,PFIZER\BIONTECH,13661811.0,1598,337.0,23.0,116.97,24.67,1.68,398.58,0.846,59.36,0.387,0.755,0.936
FE3590,PFIZER\BIONTECH,14407306.0,1703,354.0,44.0,118.2,24.57,3.05,420.33,0.842,62.6,0.703,0.754,0.93
EW0183,PFIZER\BIONTECH,15594676.0,1742,383.0,11.0,111.7,24.56,0.71,454.97,0.842,67.76,0.162,0.758,0.926
FC3184,PFIZER\BIONTECH,13611447.0,1986,334.0,45.0,145.91,24.54,3.31,397.11,0.841,59.14,0.761,0.751,0.931
EW0171,PFIZER\BIONTECH,18546111.0,2240,446.0,79.0,120.78,24.05,4.26,541.08,0.824,80.59,0.98,0.748,0.901
EW0168,PFIZER\BIONTECH,14257435.0,1583,337.0,32.0,111.03,23.64,2.24,415.96,0.81,61.95,0.517,0.724,0.897
FF8841,PFIZER\BIONTECH,13157275.0,2006,308.0,40.0,152.46,23.41,3.04,383.86,0.802,57.17,0.7,0.713,0.892
EW0167,PFIZER\BIONTECH,14751992.0,2074,343.0,32.0,140.59,23.25,2.17,430.38,0.797,64.1,0.499,0.713,0.881
FG3527,PFIZER\BIONTECH,14248081.0,1427,326.0,38.0,100.15,22.88,2.67,415.68,0.784,61.91,0.614,0.699,0.869
FC3180,PFIZER\BIONTECH,13234261.0,1620,302.0,26.0,122.41,22.82,1.96,386.1,0.782,57.5,0.452,0.694,0.87
EW0175,PFIZER\BIONTECH,13892118.0,1760,311.0,34.0,126.69,22.39,2.45,405.3,0.767,60.36,0.563,0.682,0.853
EW0176,PFIZER\BIONTECH,14794519.0,1796,328.0,38.0,121.4,22.17,2.57,431.62,0.76,64.28,0.591,0.678,0.842
EW0165,PFIZER\BIONTECH,3434543.0,375,76.0,4.0,109.18,22.13,1.16,100.2,0.758,14.92,0.268,0.588,0.929
EW0191,PFIZER\BIONTECH,15917428.0,1802,349.0,19.0,113.21,21.93,1.19,464.39,0.752,69.16,0.275,0.673,0.83
FC3182,PFIZER\BIONTECH,14006913.0,1455,305.0,46.0,103.88,21.77,3.28,408.65,0.746,60.86,0.756,0.663,0.83
EW0178,PFIZER\BIONTECH,13139466.0,1568,276.0,12.0,119.34,21.01,0.91,383.34,0.72,57.09,0.21,0.635,0.805
FF8839,PFIZER\BIONTECH,12146408.0,1474,250.0,39.0,121.35,20.58,3.21,354.37,0.705,52.78,0.739,0.618,0.793
FF2588,PFIZER\BIONTECH,12813540.0,1331,263.0,30.0,103.87,20.53,2.34,373.83,0.704,55.68,0.539,0.619,0.789
EW0182,PFIZER\BIONTECH,14698538.0,1678,295.0,24.0,114.16,20.07,1.63,428.82,0.688,63.87,0.376,0.609,0.766
FD8448,PFIZER\BIONTECH,12322267.0,1335,246.0,25.0,108.34,19.96,2.03,359.5,0.684,53.54,0.467,0.599,0.77
EW0170,PFIZER\BIONTECH,15738290.0,1898,313.0,34.0,120.6,19.89,2.16,459.16,0.682,68.39,0.497,0.606,0.757
FH8020,PFIZER\BIONTECH,12894456.0,1956,255.0,17.0,151.69,19.78,1.32,376.19,0.678,56.03,0.303,0.595,0.761
FH8028,PFIZER\BIONTECH,13144686.0,1282,260.0,29.0,97.53,19.78,2.21,383.49,0.678,57.12,0.508,0.596,0.76
EW0161,PFIZER\BIONTECH,16148400.0,2131,317.0,41.0,131.96,19.63,2.54,471.12,0.673,70.17,0.584,0.599,0.747
FA7484,PFIZER\BIONTECH,9720688.0,1285,187.0,25.0,132.19,19.24,2.57,283.6,0.659,42.24,0.592,0.565,0.754
